pikachu_front: .word 16, 16
.byte 0,0,0,199,199,199,199,199,199,199,199,199,199,0,0,0,
0,73,73,10,199,199,199,199,199,199,199,199,10,73,73,0,
199,9,91,119,18,199,199,199,199,199,199,18,119,91,9,199,
199,0,110,119,119,10,92,101,101,92,10,119,119,110,0,199,
199,199,18,110,119,110,110,119,119,110,110,119,119,18,199,199,
199,199,199,83,110,119,119,119,119,119,119,110,91,199,199,199,
199,199,82,110,111,119,119,119,119,119,119,111,110,82,199,199,
82,82,0,119,119,246,119,119,119,119,246,119,119,0,199,199,
73,92,0,85,111,9,119,111,111,119,9,111,85,9,199,199,
73,92,92,11,84,110,111,92,92,111,110,84,11,199,199,199,
199,83,92,82,10,82,92,92,92,92,82,10,82,199,199,199,
199,199,92,10,101,101,82,91,91,82,101,101,10,83,199,199,
199,199,83,19,18,27,92,101,101,92,27,18,19,83,199,199,
199,199,199,10,92,92,101,101,101,101,92,92,92,199,199,199,
199,199,199,199,9,9,82,82,82,82,101,92,1,199,199,199,
199,199,199,199,199,199,199,199,199,199,1,0,199,199,199,199,


